uri,original_narc_name
http://ldf.fi/warsa/places/cemeteries/h0426_1 ,"Vehkalahti, Myllykylä "
http://ldf.fi/warsa/places/cemeteries/h0426_2 ,"Vehkalahti, Husula "
http://ldf.fi/warsa/places/cemeteries/h0427_1 ,Virolahti 
http://ldf.fi/warsa/places/cemeteries/h0428_1 ,Ylämaa 
http://ldf.fi/warsa/places/cemeteries/h0501_1 ,Anttola 
http://ldf.fi/warsa/places/cemeteries/h0502_1 ,Enonkoski 
http://ldf.fi/warsa/places/cemeteries/h0503_1 ,Hartola 
http://ldf.fi/warsa/places/cemeteries/h0504_1 ,Haukivuori 
http://ldf.fi/warsa/places/cemeteries/h0505_1 ,Heinola 
http://ldf.fi/warsa/places/cemeteries/h0506_1 ,Heinolan mlk 
http://ldf.fi/warsa/places/cemeteries/h0507_1 ,"Heinävesi, Kirkonmäki "
http://ldf.fi/warsa/places/cemeteries/h0507_2 ,"Heinävesi, Palokki "
http://ldf.fi/warsa/places/cemeteries/h0507_3 ,"Heinävesi, Petruma "
http://ldf.fi/warsa/places/cemeteries/h0507_4 ,"Heinävesi, Petäjäharju "
http://ldf.fi/warsa/places/cemeteries/h0508_1 ,Hirvensalmi 
http://ldf.fi/warsa/places/cemeteries/h0509_1 ,"Joroinen, Kirkkomaa "
http://ldf.fi/warsa/places/cemeteries/h0509_2 ,"Joroinen, Lahnalahti "
http://ldf.fi/warsa/places/cemeteries/h0509_3 ,"Joroinen, Kirkonkylän hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0510_1 ,Juva 
http://ldf.fi/warsa/places/cemeteries/h0511_1 ,Jäppilä 
http://ldf.fi/warsa/places/cemeteries/h0512_1 ,Kangaslampi 
http://ldf.fi/warsa/places/cemeteries/h0513_1 ,Kangasniemi 
http://ldf.fi/warsa/places/cemeteries/h0514_1 ,Kerimäki 
http://ldf.fi/warsa/places/cemeteries/h0514_2 ,"Kerimäki, Uusi hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0515_1 ,"Mikkeli, Harju "
